Hisse,Son,Al��,Sat��,Fark,En D���k,En Y�ksek,AOF,Hacim TL,Hacim Lot
A1CAP,9.91,9.90,9.91,0.001,9.82,10.07,9.91,73828390,7451803
A1YEN,3.67,3.66,3.67,0.0669,3.38,3.75,3.63,384353694,105837388
AAGYO,17.35,17.35,17.36,-0.0153,17.33,17.72,17.51,154187097,8805994
ACSEL,153.1,153.10,153.20,-0.0584,151.7,162.6,156.25,91182784,583563
ADEL,31.68,31.66,31.68,-0.0143,31.3,32.42,31.89,83056306,2604289
ADESE,1.01,1.00,1.01,0,1,1.03,1.01,122256906,121073275
ADGYO,54.2,54.20,54.25,-0.0321,53.75,56.15,54.75,54668332,998440
AEFES,20.36,20.18,20.36,-0.0145,19.82,20.6,20.16,597105163,29617735
AFYON,12.82,12.81,12.82,-0.0047,12.76,12.93,12.85,19632969,1528259
AGESA,235.8,235.00,235.80,-0.0021,232.5,236.3,234.09,50055315,213832
AGHOL,32.3,32.30,32.38,-0.0182,31.52,32.9,32.25,305839002,9484905
AGROT,2.87,2.86,2.87,-0.0171,2.86,2.95,2.9,92814059,32004278
AGYO,8.3,8.26,8.30,-0.0235,8.2,8.5,8.34,3448343,413710
AHGAZ,31,30.98,31.00,-0.0051,31,32,31.24,81175988,2598156
AHSGY,20.1,20.08,20.10,-0.0309,20.1,21,20.43,32931779,1611960
AKBNK,64.5,64.50,64.55,-0.0395,64.4,67.55,65.31,9952386157,152389168
AKCNS,210.1,210.10,210.40,-0.0132,209.8,215.5,212.43,49201781,231613
AKENR,15.17,15.17,15.18,0.039,13.97,15.47,14.86,1131779469,76179710
AKFGY,2.75,2.74,2.75,-0.0036,2.74,2.79,2.76,42644448,15440619
AKFIS,65.6,65.55,65.60,-0.0374,65.55,68.05,66.9,171965315,2570378
AKFYE,25.18,25.18,-,0.0996,22.96,25.18,24.56,190259101,7746158
AKGRT,7.22,7.22,7.23,-0.0475,7.22,7.58,7.35,223986443,30462134
AKHAN,31.16,31.14,31.16,0.0243,29.94,31.28,30.82,218538499,7090786
AKMGY,265.25,265.25,265.50,-0.0221,265.25,275.5,269.68,13358729,49535
AKSA,10.65,10.65,10.66,-0.0093,10.63,11.15,10.91,323845154,29693292
AKSEN,79.8,79.80,79.95,-0.0362,79.8,83.5,81.29,495762979,6098490
AKSGY,9.17,9.15,9.17,0,9.1,9.29,9.2,41102825,4469738
AKSUE,36.18,36.00,36.20,0.0427,34.34,36.44,35.58,53755464,1510668
AKYHO,2.64,2.63,2.64,-0.0149,2.63,2.69,2.65,3082640,1163422
ALARK,98.5,98.45,98.50,-0.0257,98.05,102.4,100.05,455866226,4556480
